# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29  of event 'cpu_atom/cycles/P'
# Event count (approx.): 20523341
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 8K of event 'cpu_core/cycles/P'
# Event count (approx.): 8112480483
#
# Overhead  Command     Shared Object                 Symbol                                                                                                                                    
# ........  ..........  ............................  ..........................................................................................................................................
#
    86.12%  image_perf  image_perf                    [.] ImageProcessor::blur()
     6.96%  image_perf  image_perf                    [.] ImageProcessor::mask_mean(unsigned char*)
     2.06%  image_perf  image_perf                    [.] int const& std::min<int>(int const&, int const&)
     1.28%  image_perf  libm.so.6                     [.] __round
     0.42%  image_perf  ld-linux-x86-64.so.2          [.] do_lookup_x
     0.36%  image_perf  image_perf                    [.] ImageProcessor::mask_itp(unsigned char*)
     0.29%  image_perf  image_perf                    [.] round@plt
     0.10%  image_perf  [kernel.kallsyms]             [k] __d_lookup_rcu
     0.09%  image_perf  image_perf                    [.] ImageProcessor::mask(unsigned char*)
     0.09%  image_perf  ld-linux-x86-64.so.2          [.] strcmp
     0.08%  image_perf  libgdcmDICT.so.3.0.22         [.] gdcm::Dict::LoadDefault()
     0.07%  image_perf  [kernel.kallsyms]             [k] __alloc_skb
     0.05%  image_perf  ld-linux-x86-64.so.2          [.] _dl_relocate_object
     0.05%  image_perf  libc.so.6                     [.] isspace
     0.05%  image_perf  ld-linux-x86-64.so.2          [.] check_match
     0.04%  image_perf  [kernel.kallsyms]             [k] __siphash_unaligned
     0.03%  image_perf  [kernel.kallsyms]             [k] zap_present_ptes
     0.03%  image_perf  libgdcmDSED.so.3.0.22         [.] gdcm::PrivateTag::operator<(gdcm::PrivateTag const&) const
     0.03%  image_perf  libc.so.6                     [.] _int_free
     0.03%  image_perf  [kernel.kallsyms]             [k] link_path_walk.part.0.constprop.0
     0.03%  image_perf  [kernel.kallsyms]             [k] hash_name
     0.03%  image_perf  [kernel.kallsyms]             [k] __count_memcg_events
     0.03%  image_perf  libc.so.6                     [.] __strlen_avx2
     0.03%  image_perf  libc.so.6                     [.] _int_malloc
     0.03%  image_perf  libstdc++.so.6.0.33           [.] std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
